39_2501.03938_in-sample-and-out-of-sample-sharpe-ratios-for-linear-strategies	36	1538174	5e66848c666213679c193d97351480fc019c7e66435a42662e18ec4c8b0af705
40_external_the-probability-of-backtest-overfitting-journal-article-cscv-method	34	1145522	d8bfbadaaedb430d9dec929646d92f3580fdf18238f34121ae7738fa1c69a63d
41_probability_backtest_overfitting_alternate	34	1145522	d8bfbadaaedb430d9dec929646d92f3580fdf18238f34121ae7738fa1c69a63d
42_deflated_sharpe_alternate	22	1048118	ca4a1e834a2954b84eb560776e903329cd9cef318d458aadf6d67bc8166d10b5
43_2311.10685_high-throughput-asset-pricing	44	654128	d338d13e08302df0f5d38c8886449eebe30ebd1a20d29390757658644ec50b7e
44_2602.00133_a-swe-bench-style-framework-for-backtesting-trading-strategies	10	267245	540d563eebc59e16d68e03df5e9dc7dc6060dff8636a7f6ee5f6bdb280eed15c
45_2112.02947_the-price-impact-of-generalized-order-flow-imbalance	9	2569078	344534056ec87659e6b0ca494532d62cfb3d54e695bdbe19750e7b2f3ff59f96
46_2601.23172_a-unified-theory-of-order-flow-market-impact-and-volatility	37	760512	95dbaa84b93df5a68fc4f8d04c2f640abdfdc24fe2e92761fed1ec0897eb62b8
47_2509.05065_the-subtle-interplay-between-square-root-impact-order-flow-imbalance-a	20	991388	8b2c6073a1fca19d7dff0ef53e38802dc1427efddab93e5b36a8a0a76d8769b7
48_1011.6402_the-price-impact-of-order-book-events	26	741640	40d1d5f0baf7944a1b9f4c12d3644038e657acf4a3dfb500b2057c2269edd25f
49_1602.02735_linear-models-for-the-impact-of-order-flow-on-prices-i-propagators-tra	22	1339125	3da32638f19b1f7b13b54a6732169f2569ff3a1575542ba19f166a99feea1ffa
50_0804.3818_a-theory-for-market-impact-how-order-flow-affects-stock-price	124	1414410	820a1c7f42a57ffed9d4e968bc4ccf5a685720dd9a0f519a198eeaa71e28ecd7
51_2004.08290_empirical-study-of-market-impact-conditional-on-order-flow-imbalance	132	1658559	acefefa49ac54af8100bd6abdafda8eefccff341dbb420cdecd305f8e46581b1
52_2307.02375_price-impact-during-order-order-submission-impact-study-2023	26	1786972	0e676efa0f8acc55a824fa8703c220f33cd6d7da8419bee909b29e01fb57c207
53_2508.06788_returns-and-order-flow-imbalances-intraday-dynamics-and-macroeconomic-	18	721270	79bb14f8e7d8d859e971187825433511c6d0ce00f1ff267be24887a48bbb95b2
54_2112.13213_cross-impact-of-order-flow-imbalance-in-equity-markets	41	2030376	8a8559063f7bbe93827407cddd21b41d5b7ba80870772f2800a835b77cee44c9
55_2505.17388_stochastic-price-dynamics-in-response-to-order-flow-imbalance-evidence	37	6654485	a816e911616e859722eb561728ed2b5d3f27602080ea2e6a32ab485afff337f9
56_external_universal-scaling-and-nonlinearity-of-aggregate-price-impact-in-financ	15	2654095	e1143e710d1401b4837e41075bdb3f0090d69a8a08b9c0ca62b1333a42070fb6
backtest-prob	34	1145522	d8bfbadaaedb430d9dec929646d92f3580fdf18238f34121ae7738fa1c69a63d
deflated-sharpe	22	1048118	ca4a1e834a2954b84eb560776e903329cd9cef318d458aadf6d67bc8166d10b5
61_external_trading-and-exchanges-market-microstructure-for-practitioners-draft	113	620148	030f6dbdf334f365d4aa24d6773053bc858f0b6f494631492a7fd70bfe8702ac
